한자,병음,성조 (단음절),한글 의미,품사
啊,ā / á / ǎ / à / a,1성/2성/3성/4성/경성,아! 어기를 나타냄,조사
矮,ǎi,3성,(키가) 작다,형용사
爱,ài,4성,사랑하다,동사
爱好,àihào,-,애호하다,동사
爱好,àihào,-,취미,동사
安静,ānjìng,-,조용하다,형용사
安排,ānpái,-,"안배하다, 계획하다",동사
吧,ba,경성,"~지?, ~하자, ~해라",조사
把,bǎ,3성,~을/를,개사
把,bǎ,3성,"단위(의자, 우산, 칼 등)",양사
爸爸,bàba,-,아빠,명사
白,bái,2성,"희다, 헛되이, 공짜로","형용사, 부사"
班,bān,1성,"반, 근무",명사
搬,bān,1성,"운반하다, 옮기다",동사
半,bàn,4성,"반, 30분","수사, 명사"
办,bàn,4성,"일하다, 처리하다",동사
办法,bànfǎ,-,"방법, 수단",명사
办公室,bàngōngshì,-,사무실,명사
帮忙,bāngmáng,-,일손을 돕다,동사
帮助,bāngzhù,-,돕다,동사
棒,bàng,4성,"방망이, (수준) 높다, (능력) 강하다","명사, 형용사"
棒球,bàngqiú,-,야구,명사
包,bāo,1성,"싸다, 보장하다, 전세 내다, 단위(싸여 있는 물건), 가방","동사, 양사, 명사"
包子,bāozi,-,(소가 든) 찐빵,명사
饱,bǎo,3성,배부르다,형용사
抱,bào,4성,안다,동사
报,bào,4성,"신문, 알리다","명사, 동사"
报名,bàomíng,-,신청하다,동사
抱歉,bàoqiàn,-,미안해하다,"형용사, 동사"
杯,bēi,1성,"단위(잔, 컵)",양사
杯子,bēizi,-,"잔, 컵",명사
倍,bèi,4성,"배, 곱절",양사
被,bèi,4성,~에게 ...(당하다),"개사, 조사"
本,běn,3성,"단위(책, 잡지)",양사
本来,běnlái,-,"본래, 원래","부사, 명사"
鼻子,bízi,-,코,명사
比,bǐ,3성,"~보다, 비교하다","개사, 동사"
比较,bǐjiào,-,"비교적, 비교하다","부사, 동사"
比如,bǐrú,-,"예컨대, 가령","부사, 동사"
比赛,bǐsài,-,"시합, 경기하다","명사, 동사"
必须,bìxū,-,반드시 ~해야 한다,부사
毕业,bìyè,-,졸업하다,동사
边,biān,1성,"변, 가장자리, 끝",명사
遍,biàn,4성,단위(횟수),양사
变化,biànhuà,-,변화하다,"동사, 명사"
表示,biǎoshì,-,"표시(하다), 나타내다","동사, 명사"
表演,biǎoyǎn,-,공연하다,"동사, 명사"
别,bié,2성,"~하지 마라, 다른","부사, 형용사"
别人,biérén,-,"남, 타인",대명사
病,bìng,4성,"병, 병나다","명사, 동사"
不,bù,4성,~아니다,부사
不但,bùdàn,-,~뿐만 아니라,접속사
部分,bùfen,-,부분,명사
不过,bùguò,-,"그러나, ~에 불과하다","접속사, 부사"
不好意思,bù hǎoyìsi,-,"부끄럽다, 미안하다",형용사
擦,cā,1성,"닦다, 문지르다",동사
猜,cāi,1성,추측하다,동사
才,cái,2성,비로소,부사
菜,cài,4성,"요리, 채소, 반찬",명사
菜单,càidān,-,"식단, 차림표",명사
参观,cānguān,-,견학하다,동사
参加,cānjiā,-,참가하다,동사
餐厅,cāntīng,-,식당,명사
操场,cāochǎng,-,운동장,명사
草,cǎo,3성,풀,명사
层,céng,2성,"층, 겹",양사
差,chā / chà / chāi,1성 / 4성 / 1성,"차이 / 차이가 나다, 부족하다 / 파견하다, 출장 업무","명사 / 동사, 형용사 / 동사"
茶,chá,2성,차,명사
查,chá,2성,"조사하다, 찾다",동사
差不多,chàbuduō,-,"거의 비슷하다, 그럭저럭 되다","부사, 형용사"
